Account name,Date,Transaction type,Transaction number,Name,Description,Full name,Account name,Amount line,Balance
Donations directed by individuals,09/22/2023,Deposit,92849379NY251523H,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$46.84,"$926,293.59"
PayPal Fees,09/22/2023,Deposit,92849379NY251523H,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.55,"$926,296.14"
PayPal Bank 3,09/22/2023,Deposit,24H05466E78915840,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 24H05466E78915840
https://www.paypal.com/activity/payment/24H05466E78915840",PayPal Bank 3,--,$95.12,"$926,391.26"
Donations directed by individuals,09/22/2023,Deposit,24H05466E78915840,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$926,491.26"
PayPal Fees,09/22/2023,Deposit,24H05466E78915840,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.88,"$926,496.14"
PayPal Bank 3,09/22/2023,Deposit,59V91817VH0167112,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 59V91817VH0167112
https://www.paypal.com/activity/payment/59V91817VH0167112",PayPal Bank 3,--,$29.53,"$926,525.67"
Donations directed by individuals,09/22/2023,Deposit,59V91817VH0167112,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$31.40,"$926,557.07"
PayPal Fees,09/22/2023,Deposit,59V91817VH0167112,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.87,"$926,558.94"
PayPal Bank 3,09/22/2023,Deposit,8YG04764AJ853973H,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 8YG04764AJ853973H
https://www.paypal.com/activity/payment/8YG04764AJ853973H",PayPal Bank 3,--,$96.62,"$926,655.56"
Donations directed by individuals,09/22/2023,Deposit,8YG04764AJ853973H,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$926,755.56"
PayPal Fees,09/22/2023,Deposit,8YG04764AJ853973H,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.38,"$926,758.94"
PayPal Bank 3,09/22/2023,Deposit,35828543NT836045K,08 VICTORY DRONES RESTR,"Subject: VICTORY DRONES
Transaction ID: 35828543NT836045K
https://www.paypal.com/activity/payment/35828543NT836045K",PayPal Bank 3,--,$100.00,"$926,858.94"
Donations directed by individuals,09/22/2023,Deposit,35828543NT836045K,08 VICTORY DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$926,962.42"
PayPal Fees,09/22/2023,Deposit,35828543NT836045K,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.48,"$926,965.90"
PayPal Bank 3,09/22/2023,Deposit,8UW05977A31013801,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 8UW05977A31013801
https://www.paypal.com/activity/payment/8UW05977A31013801",PayPal Bank 3,--,$24.61,"$926,990.51"
Donations directed by individuals,09/22/2023,Deposit,8UW05977A31013801,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.25,"$927,016.76"
PayPal Fees,09/22/2023,Deposit,8UW05977A31013801,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.64,"$927,018.40"
PayPal Bank 3,09/22/2023,Deposit,1YX81155BH655573G,04 PAYPAL GENERAL UNRESTR,"Subject: Support Ukraine
Transaction ID: 1YX81155BH655573G
https://www.paypal.com/activity/payment/1YX81155BH655573G",PayPal Bank 3,--,$9.84,"$927,028.24"
Donations directed by individuals,09/22/2023,Deposit,1YX81155BH655573G,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.80,"$927,039.04"
PayPal Fees,09/22/2023,Deposit,1YX81155BH655573G,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.96,"$927,040.00"
PayPal Bank 3,09/22/2023,Deposit,0GR32832JG003733X,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 0GR32832JG003733X
https://www.paypal.com/activity/payment/0GR32832JG003733X",PayPal Bank 3,--,$18.63,"$927,058.63"
Donations directed by individuals,09/22/2023,Deposit,0GR32832JG003733X,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00,"$927,078.63"
PayPal Fees,09/22/2023,Deposit,0GR32832JG003733X,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.37,"$927,080.00"
PayPal Bank 3,09/22/2023,Deposit,0FX81998NC559001L,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 0FX81998NC559001L
https://www.paypal.com/activity/payment/0FX81998NC559001L",PayPal Bank 3,--,$100.00,"$927,180.00"
Donations directed by individuals,09/22/2023,Deposit,0FX81998NC559001L,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$927,283.48"
PayPal Fees,09/22/2023,Deposit,0FX81998NC559001L,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.48,"$927,286.96"
PayPal Bank 3,09/22/2023,Deposit,26U48349N8691404V,07 1000 DRONES RESTR,"Subject: 1000DRONES
Transaction ID: 26U48349N8691404V
https://www.paypal.com/activity/payment/26U48349N8691404V",PayPal Bank 3,--,$100.00,"$927,386.96"
Donations directed by individuals,09/22/2023,Deposit,26U48349N8691404V,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$927,490.44"
PayPal Fees,09/22/2023,Deposit,26U48349N8691404V,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.48,"$927,493.92"
PayPal Bank 3,09/22/2023,Deposit,0U202243C1725713D,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 0U202243C1725713D
https://www.paypal.com/activity/payment/0U202243C1725713D",PayPal Bank 3,--,$71.22,"$927,565.14"
Donations directed by individuals,09/22/2023,Deposit,0U202243C1725713D,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$75.00,"$927,640.14"
PayPal Fees,09/22/2023,Deposit,0U202243C1725713D,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.78,"$927,643.92"
PayPal Bank 3,09/22/2023,Deposit,7KC66483C6871271C,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 7KC66483C6871271C
https://www.paypal.com/activity/payment/7KC66483C6871271C",PayPal Bank 3,--,$96.62,"$927,740.54"
Donations directed by individuals,09/22/2023,Deposit,7KC66483C6871271C,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$927,840.54"
PayPal Fees,09/22/2023,Deposit,7KC66483C6871271C,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.38,"$927,843.92"
PayPal Bank 3,09/22/2023,Deposit,4EY366765W4879742,04 PAYPAL GENERAL UNRESTR,"Subject: Support Ukraine
Transaction ID: 4EY366765W4879742
https://www.paypal.com/activity/payment/4EY366765W4879742",PayPal Bank 3,--,$29.53,"$927,873.45"
Donations directed by individuals,09/22/2023,Deposit,4EY366765W4879742,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$31.40,"$927,904.85"
PayPal Fees,09/22/2023,Deposit,4EY366765W4879742,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.87,"$927,906.72"
PayPal Bank 3,09/22/2023,Deposit,7RX28609RA4921907,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 7RX28609RA4921907
https://www.paypal.com/activity/payment/7RX28609RA4921907",PayPal Bank 3,--,$50.00,"$927,956.72"
Donations directed by individuals,09/22/2023,Deposit,7RX28609RA4921907,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$928,008.71"
PayPal Fees,09/22/2023,Deposit,7RX28609RA4921907,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.99,"$928,010.70"
PayPal Bank 3,09/22/2023,Deposit,67G33827KT8589325,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 67G33827KT8589325
https://www.paypal.com/activity/payment/67G33827KT8589325",PayPal Bank 3,--,$98.45,"$928,109.15"
Donations directed by individuals,09/22/2023,Deposit,67G33827KT8589325,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$928,212.63"
PayPal Fees,09/22/2023,Deposit,67G33827KT8589325,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$5.03,"$928,217.66"
PayPal Bank 3,09/22/2023,Deposit,1K318917DR530935J,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 1K318917DR530935J
https://www.paypal.com/activity/payment/1K318917DR530935J",PayPal Bank 3,--,$190.73,"$928,408.39"
Donations directed by individuals,09/22/2023,Deposit,1K318917DR530935J,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$200.00,"$928,608.39"
PayPal Fees,09/22/2023,Deposit,1K318917DR530935J,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$9.27,"$928,617.66"
PayPal Bank 3,09/22/2023,Deposit,4WY14105S32898233,07 1000 DRONES RESTR,"Subject: 1000DRONES
Transaction ID: 4WY14105S32898233
https://www.paypal.com/activity/payment/4WY14105S32898233",PayPal Bank 3,--,$250.00,"$928,867.66"
Donations directed by individuals,09/22/2023,Deposit,4WY14105S32898233,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$257.94,"$929,125.60"
PayPal Fees,09/22/2023,Deposit,4WY14105S32898233,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$7.94,"$929,133.54"
PayPal Bank 3,09/22/2023,Deposit,9BY59096T6696433B,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 9BY59096T6696433B
https://www.paypal.com/activity/payment/9BY59096T6696433B",PayPal Bank 3,--,$47.31,"$929,180.85"
Donations directed by individuals,09/22/2023,Deposit,9BY59096T6696433B,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$929,230.85"
PayPal Fees,09/22/2023,Deposit,9BY59096T6696433B,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.69,"$929,233.54"
PayPal Bank 3,09/22/2023,Deposit,5L035265W54789510,04 PAYPAL GENERAL UNRESTR,"Subject: Support Ukraine
Transaction ID: 5L035265W54789510
https://www.paypal.com/activity/payment/5L035265W54789510",PayPal Bank 3,--,$4.29,"$929,237.83"
Donations directed by individuals,09/22/2023,Deposit,5L035265W54789510,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$5.00,"$929,242.83"
PayPal Fees,09/22/2023,Deposit,5L035265W54789510,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.71,"$929,243.54"
PayPal Bank 3,09/22/2023,Deposit,83P51623JL6917910,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 83P51623JL6917910
https://www.paypal.com/activity/payment/83P51623JL6917910",PayPal Bank 3,--,$9.22,"$929,252.76"
Donations directed by individuals,09/22/2023,Deposit,83P51623JL6917910,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$929,262.76"
PayPal Fees,09/22/2023,Deposit,83P51623JL6917910,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.78,"$929,263.54"
PayPal Bank 3,09/22/2023,Deposit,0J522931637712152,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Note: За каховську ГЕС
Transaction ID: 0J522931637712152
https://www.paypal.com/activity/payment/0J522931637712152",PayPal Bank 3,--,$47.31,"$929,310.85"
Donations directed by individuals,09/22/2023,Deposit,0J522931637712152,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$929,360.85"
PayPal Fees,09/22/2023,Deposit,0J522931637712152,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.69,"$929,363.54"
PayPal Bank 3,09/22/2023,Deposit,7P867305A14479716,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 7P867305A14479716
https://www.paypal.com/activity/payment/7P867305A14479716",PayPal Bank 3,--,$96.62,"$929,460.16"
Donations directed by individuals,09/22/2023,Deposit,7P867305A14479716,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$929,560.16"
PayPal Fees,09/22/2023,Deposit,7P867305A14479716,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.38,"$929,563.54"
PayPal Bank 3,09/22/2023,Deposit,5L101891VF097534J,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 5L101891VF097534J
https://www.paypal.com/activity/payment/5L101891VF097534J",PayPal Bank 3,--,$19.68,"$929,583.22"
Donations directed by individuals,09/22/2023,Deposit,5L101891VF097534J,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$21.10,"$929,604.32"
PayPal Fees,09/22/2023,Deposit,5L101891VF097534J,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.42,"$929,605.74"
PayPal Bank 3,09/22/2023,Deposit,9J277679X1559944P,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 9J277679X1559944P
https://www.paypal.com/activity/payment/9J277679X1559944P",PayPal Bank 3,--,$48.06,"$929,653.80"
Donations directed by individuals,09/22/2023,Deposit,9J277679X1559944P,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$929,703.80"
PayPal Fees,09/22/2023,Deposit,9J277679X1559944P,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.94,"$929,705.74"
PayPal Bank 3,09/22/2023,Deposit,27D61325PF315034M,04 PAYPAL GENERAL UNRESTR,"Subject: Support Ukraine
Transaction ID: 27D61325PF315034M
https://www.paypal.com/activity/payment/27D61325PF315034M",PayPal Bank 3,--,$68.35,"$929,774.09"
Donations directed by individuals,09/22/2023,Deposit,27D61325PF315034M,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$72.00,"$929,846.09"
PayPal Fees,09/22/2023,Deposit,27D61325PF315034M,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.65,"$929,849.74"
PayPal Bank 3,09/22/2023,Deposit,3D615411NC328620N,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 3D615411NC328620N
https://www.paypal.com/activity/payment/3D615411NC328620N",PayPal Bank 3,--,$286.34,"$930,136.08"
Donations directed by individuals,09/22/2023,Deposit,3D615411NC328620N,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$300.00,"$930,436.08"
PayPal Fees,09/22/2023,Deposit,3D615411NC328620N,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$13.66,"$930,449.74"
PayPal Bank 3,09/22/2023,Deposit,9SM04788L8134264T,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 9SM04788L8134264T
https://www.paypal.com/activity/payment/9SM04788L8134264T",PayPal Bank 3,--,$19.68,"$930,469.42"
Donations directed by individuals,09/22/2023,Deposit,9SM04788L8134264T,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$21.10,"$930,490.52"
PayPal Fees,09/22/2023,Deposit,9SM04788L8134264T,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.42,"$930,491.94"
PayPal Bank 3,09/22/2023,Deposit,3VR31857FX327203W,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 3VR31857FX327203W
https://www.paypal.com/activity/payment/3VR31857FX327203W",PayPal Bank 3,--,$23.79,"$930,515.73"
Donations directed by individuals,09/22/2023,Deposit,3VR31857FX327203W,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$25.00,"$930,540.73"
PayPal Fees,09/22/2023,Deposit,3VR31857FX327203W,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.21,"$930,541.94"
PayPal Bank 3,09/22/2023,Deposit,9J065511F7745160A,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 9J065511F7745160A
https://www.paypal.com/activity/payment/9J065511F7745160A",PayPal Bank 3,--,$98.45,"$930,640.39"
Donations directed by individuals,09/22/2023,Deposit,9J065511F7745160A,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$930,743.87"
PayPal Fees,09/22/2023,Deposit,9J065511F7745160A,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$5.03,"$930,748.90"
PayPal Bank 3,09/22/2023,Deposit,89M850298K897471M,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 89M850298K897471M
https://www.paypal.com/activity/payment/89M850298K897471M",PayPal Bank 3,--,$96.62,"$930,845.52"
Donations directed by individuals,09/22/2023,Deposit,89M850298K897471M,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$930,945.52"
PayPal Fees,09/22/2023,Deposit,89M850298K897471M,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.38,"$930,948.90"
PayPal Bank 3,09/22/2023,Deposit,7VG756597L8435920,08 VICTORY DRONES RESTR,"Subject: VictoryDrones
Transaction ID: 7VG756597L8435920
https://www.paypal.com/activity/payment/7VG756597L8435920",PayPal Bank 3,--,$49.22,"$930,998.12"
Donations directed by individuals,09/22/2023,Deposit,7VG756597L8435920,08 VICTORY DRONES RESTR,VICTORY DRONES - VICTORY DRONES,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$931,050.11"
PayPal Fees,09/22/2023,Deposit,7VG756597L8435920,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.77,"$931,052.88"
PayPal Bank 3,09/22/2023,Deposit,38V95782FA5982300,08 VICTORY DRONES RESTR,"Subject: VictoryDrones
Transaction ID: 38V95782FA5982300
https://www.paypal.com/activity/payment/38V95782FA5982300",PayPal Bank 3,--,$98.45,"$931,151.33"
Donations directed by individuals,09/22/2023,Deposit,38V95782FA5982300,08 VICTORY DRONES RESTR,VICTORY DRONES - VICTORY DRONES,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$931,254.81"
PayPal Fees,09/22/2023,Deposit,38V95782FA5982300,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$5.03,"$931,259.84"
PayPal Bank 3,09/22/2023,Deposit,9AX00673K1318502G,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 9AX00673K1318502G
https://www.paypal.com/activity/payment/9AX00673K1318502G",PayPal Bank 3,--,$19.68,"$931,279.52"
Donations directed by individuals,09/22/2023,Deposit,9AX00673K1318502G,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$21.10,"$931,300.62"
PayPal Fees,09/22/2023,Deposit,9AX00673K1318502G,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.42,"$931,302.04"
PayPal Bank 3,09/22/2023,Deposit,3CR08406DR816450K,04 PAYPAL GENERAL UNRESTR,"Subject: Support Ukraine
Transaction ID: 3CR08406DR816450K
https://www.paypal.com/activity/payment/3CR08406DR816450K",PayPal Bank 3,--,$50.00,"$931,352.04"
Donations directed by individuals,09/22/2023,Deposit,3CR08406DR816450K,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$931,404.03"
PayPal Fees,09/22/2023,Deposit,3CR08406DR816450K,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.99,"$931,406.02"
PayPal Bank 3,09/22/2023,Deposit,8ED51655T7716144C,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 8ED51655T7716144C
https://www.paypal.com/activity/payment/8ED51655T7716144C",PayPal Bank 3,--,$14.76,"$931,420.78"
Donations directed by individuals,09/22/2023,Deposit,8ED51655T7716144C,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$15.95,"$931,436.73"
PayPal Fees,09/22/2023,Deposit,8ED51655T7716144C,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19,"$931,437.92"
PayPal Bank 3,09/22/2023,Deposit,5TY49338M5779122C,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 5TY49338M5779122C
https://www.paypal.com/activity/payment/5TY49338M5779122C",PayPal Bank 3,--,$9.84,"$931,447.76"
Donations directed by individuals,09/22/2023,Deposit,5TY49338M5779122C,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.80,"$931,458.56"
PayPal Fees,09/22/2023,Deposit,5TY49338M5779122C,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.96,"$931,459.52"
PayPal Bank 3,09/22/2023,Deposit,6UY42366219720415,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Note: Хай пташки літають!
Transaction ID: 6UY42366219720415
https://www.paypal.com/activity/payment/6UY42366219720415",PayPal Bank 3,--,$18.63,"$931,478.15"
Donations directed by individuals,09/22/2023,Deposit,6UY42366219720415,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00,"$931,498.15"
PayPal Fees,09/22/2023,Deposit,6UY42366219720415,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.37,"$931,499.52"
PayPal Bank 3,09/22/2023,Deposit,853452347D162280C,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 853452347D162280C
https://www.paypal.com/activity/payment/853452347D162280C",PayPal Bank 3,--,$49.22,"$931,548.74"
Donations directed by individuals,09/22/2023,Deposit,853452347D162280C,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$931,600.73"
PayPal Fees,09/22/2023,Deposit,853452347D162280C,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.77,"$931,603.50"
PayPal Bank 3,09/22/2023,Deposit,7B004459K71430428,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Note: For drones
Transaction ID: 7B004459K71430428
https://www.paypal.com/activity/payment/7B004459K71430428",PayPal Bank 3,--,$9.07,"$931,612.57"
Donations directed by individuals,09/22/2023,Deposit,7B004459K71430428,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$931,622.57"
PayPal Fees,09/22/2023,Deposit,7B004459K71430428,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.93,"$931,623.50"
